canonical_id,citation,title,evidence_view,evidence_role,verification_status,proposed_question,proposed_subquestion,relationship_to_question,prior_map_placement,placement_status,review_note
doi:10.1073/pnas.2403116121,Kobi Hackenburg et al. 2024,Evaluating the persuasive influence of political microtargeting with large language models,ai_studies,primary_empirical,content verified in analysis 21,How does AI change what people believe?,Do targeting interaction or scale make persuasion stronger?,direct evidence,,audited 2026-09-23,Microtargeted GPT-4 messages were not significantly more persuasive in aggregate than generic GPT-4 messages.
doi:10.1073/pnas.2412815122,Argyle et al. 2025,Testing theories of political persuasion using AI,ai_studies,primary_empirical,content verified in analysis 21,How does AI change what people believe?,Do targeting interaction or scale make persuasion stronger?,direct evidence,,audited 2026-09-23,Generic microtargeted interactive and motivational-interviewing tactics produced modest immediate attitude changes without clear gains over a generic message.
doi:10.1038/s41562-025-02194-6,Francesco Salvi et al. 2025,On the conversational persuasiveness of GPT-4,ai_studies,primary_empirical,content verified in analysis 21,How does AI change what people believe?,Do targeting interaction or scale make persuasion stronger?,direct evidence,,audited 2026-09-23,Personalized GPT-4 debate was more persuasive than human opponents in the subset of unequal debate pairs.
doi:10.1073/pnas.2413443122,Hackenburg et al. 2025a,Scaling and persuasion,ai_studies,primary_empirical,content verified in analysis 21,How does AI change what people believe?,Do targeting interaction or scale make persuasion stronger?,direct evidence,,audited 2026-09-23,Large multi-model experiment finds sharply diminishing persuasive returns to model scale for static messages.
doi:10.1093/pnasnexus/pgae034,Goldstein et al. 2024,How persuasive is AI-generated propaganda?,ai_studies,primary_empirical,content verified in analysis 21,How does AI change what people believe?,How persuasive are AI-generated messages compared with humans?,direct evidence,,audited 2026-09-23,Compares GPT-3 propaganda with original human propaganda and a control in a preregistered randomized survey experiment.
doi:10.1038/s41467-025-61345-5,Bai et al. 2025,LLM-generated persuasive messages,ai_studies,primary_empirical,content verified in analysis 21,How does AI change what people believe?,How persuasive are AI-generated messages compared with humans?,direct evidence,,audited 2026-09-23,Three preregistered randomized experiments compare LLM human human-selected-LLM and neutral messages on policy support.
doi:10.1038/s41598-025-30783-y,Hölbling et al. 2025,A meta-analysis of the persuasive power of large language models,ai_studies,systematic_review_or_meta_analysis,content verified in analysis 21,How does AI change what people believe?,How persuasive are AI-generated messages compared with humans?,evidence synthesis or quality context,,audited 2026-09-23,Meta-analysis directly compares LLM and human persuasion across seven studies and twelve effects.
doi:arxiv:2601.00856,Stankovic et al. 2025,Comment on: Your Brain on ChatGPT: Accumulation of Cognitive Debt When Using an AI Assistant for Essay Writing Tasks,ai_studies,methodological_commentary,content verified against arXiv abstract in analysis 24,How strong is the evidence?,What changes when researchers recheck methods and analysis?,evidence synthesis or quality context,,audited 2026-09-23,Constructive preprint commentary identifies design reproducibility EEG reporting and transparency concerns in Kosmyna et al.
doi:10.1057/s41599-025-04787-y,Wang & Fan 2025,"The effect of ChatGPT on students’ learning performance, learning perception, and higher-order thinking: insights from a meta-analysis",ai_studies,retracted_record,content verified against article and official retraction note in analysis 24,How strong is the evidence?,What happens when a result is retracted?,excluded from conclusions; integrity record,,audited 2026-09-23,The reported meta-analytic effects remain part of the research history but cannot support conclusions after the journal retracted the article over discrepancies in the analysis.
doi:10.1186/s13063-025-08950-3,Chen et al. 2025,Effects of generative artificial intelligence on cognitive effort and task performance: study protocol for a randomized controlled experiment among college students,ai_studies,protocol,content verified against full protocol in analysis 24,How strong is the evidence?,Which records describe planned studies rather than findings?,evidence synthesis or quality context,,audited 2026-09-23,Peer-reviewed registered protocol specifies a planned randomized experiment but reports no participant results.
doi:arxiv:2506.04167,Russell et al. 2025,Neural and Cognitive Impacts of AI,ai_studies,primary_empirical,content verified against full preprint in analysis 23,What do brain and physiological measures show during AI use?,Do physiological measures match perceived workload?,direct evidence,,audited 2026-09-23,Copilot lowered reported workload on several tasks while fNIRS heart-rate HRV and EDA measures showed no overall AI-condition effect.
doi:10.3390/brainsci14101032,Lv et al. 2024,Intentional or Designed? The Impact of Stance Attribution on Cognitive Processing of Generative AI Service Failures,ai_studies,primary_empirical,content verified against maintained full-text extraction in analysis 23,What do brain and physiological measures show during AI use?,How does the brain respond when an AI fails?,direct evidence,What happens in the brain? || Brain response when an AI fails,audited 2026-09-23,Within-subject EEG study measures conflict signals under different framings of emotional and mechanical AI failures.
doi:10.3389/fncom.2025.1556483,Jiang et al. 2025,The Cognitive Impacts of Large Language Model Interactions,ai_studies,primary_empirical,content verified against full publication in analysis 23,What do brain and physiological measures show during AI use?,What changes during AI-assisted writing and reasoning?,direct evidence,,audited 2026-09-23,Small EEG experiment during GPT-4-assisted reasoning; neural markers index task state and do not establish durable cognitive change.
doi:10.3389/fpsyg.2025.1508383,Wang et al. 2025,EEG assessment of artificial intelligence-generated content impact on student creative performance and neurophysiological states in product design,ai_studies,primary_empirical,content verified against maintained full-text extraction in analysis 23,What do brain and physiological measures show during AI use?,What changes during AI-assisted writing and reasoning?,direct evidence,What happens in the brain? || Consumer EEG during design work,audited 2026-09-23,Consumer-EEG study links AI-assisted design with higher proprietary concentration scores and better rated output in one three-hour task.
doi:10.1207/s15327108ijap1101_1,Mosier et al. 2001,Aircrews and Automation Bias,other_technology_studies,primary_empirical,content verified in analysis 19,Does AI advice make judgment better or worse?,What did earlier automation show about error detection?,historical comparison,,audited 2026-09-23,Professional flight crews still showed automation-bias errors; training and verification prompts did not reduce them.
doi:10.1145/1070838.1070841,Galletta et al. 2005,Does Spell-Checking Software Need a Warning Label?,other_technology_studies,primary_empirical,content verified in analysis 18,Does AI advice make judgment better or worse?,What did earlier automation show about error detection?,historical comparison,,audited 2026-09-23,Moved from skill: spell-check users failed to catch incorrect software advice while the tool was active; the study did not test skill retention after withdrawal.
title:the-loss-of-manual-flying-skills-in-pilots-of-highly-automated-airliners,Ebbatson 2009,The Loss of Manual Flying Skills in Pilots of Highly Automated Airliners,other_technology_studies,thesis,content verified and source-record error corrected in analysis 18,Does AI change the skills you build and retain?,What happened to established skill under earlier automation?,historical comparison,,audited 2026-09-23,Historical aviation comparison; corrected after the source record mixed the 9-pilot cognitive task analysis with the 66-pilot performance study.
doi:10.1177/0018720814535628,Casner et al. 2014,The Retention of Manual Flying Skills in the Automated Cockpit,other_technology_studies,primary_empirical,content verified in analysis 18,Does AI change the skills you build and retain?,What happened to established skill under earlier automation?,historical comparison,,audited 2026-09-23,Simulator evidence distinguishes retained manual-control skills from weaker cognitive navigation and failure-management performance.
doi:10.1177/0018720816640394,Haslbeck & Hoermann 2016,Flying the Needles,other_technology_studies,primary_empirical,content verified in analysis 18,Does AI change the skills you build and retain?,What happened to established skill under earlier automation?,historical comparison,,audited 2026-09-23,Cross-sectional aviation evidence linking recent manual practice to fine-motor flying performance.
doi:10.2307/749255,Hembree & Dessart 1986,Effects of Hand-Held Calculators in Precollege Mathematics Education,other_technology_studies,systematic_review_or_meta_analysis,content verified in analysis 17,Does AI change what you learn?,What happened when calculators entered learning?,historical comparison,,audited 2026-09-23,Historical meta-analysis of 79 precollege reports; calculator integration did not produce the feared loss of paper-and-pencil skills.
doi:10.2307/30034795,Ellington 2003,A Meta-Analysis of the Effects of Calculators,other_technology_studies,systematic_review_or_meta_analysis,content verified in analysis 17,Does AI change what you learn?,What happened when calculators entered learning?,historical comparison,,audited 2026-09-23,Historical meta-analysis of 54 precollege studies; effects depended on whether calculators were integrated into instruction and assessment.
doi:10.1080/09658211.2016.1210171,Storm et al. 2016,Using the Internet to access information inflates future use,other_technology_studies,primary_empirical,content verified in analysis 16,Does AI change what you remember?,Does using search change when people reach for it?,historical comparison,,audited 2026-09-23,Historical comparison on later search choice; it does not measure memory decline.
doi:10.7717/peerj.10325,Hesselmann 2020,No conclusive evidence that difficult general knowledge questions cause a 'Google Stroop effect',other_technology_studies,primary_empirical,content verified in analysis 16,Does AI change what you remember?,Does using search change when people reach for it?,historical comparison,,audited 2026-09-23,Preregistered failed replication of automatic Google activation; serves as a counterweight to the affirmative search-use result.
doi:10.1016/j.jenvp.2007.09.002,Ishikawa et al. 2008,Wayfinding with a GPS-based mobile navigation system,other_technology_studies,primary_empirical,content verified in analysis 16,Does AI change what you remember?,What happens to spatial memory when navigation is outsourced?,historical comparison,,audited 2026-09-23,Historical comparison of GPS with map and direct route learning.
doi:10.1038/s41598-020-62877-0,Dahmani & Bohbot 2020,Habitual use of GPS negatively impacts spatial memory during self-guided navigation,other_technology_studies,primary_empirical,content verified in analysis 16,Does AI change what you remember?,What happens to spatial memory when navigation is outsourced?,historical comparison,,audited 2026-09-23,Cross-sectional evidence plus a 13-person longitudinal follow-up; causal interpretation is limited.
doi:10.1080/24694452.2024.2356858,Ying et al. 2024,How Do In-Car Navigation Aids Impair Expert Navigators' Spatial Learning Ability?,other_technology_studies,primary_empirical,content verified in analysis 17,Does AI change what you remember?,What happens to spatial memory when navigation is outsourced?,historical comparison,,audited 2026-09-23,Moved from learning: the study measures spatial encoding and knowledge in expert taxi drivers and belongs with the GPS memory evidence.
doi:10.1126/science.1207745,Sparrow et al. 2011,Google Effects on Memory: Cognitive Consequences of Having Information at Our Fingertips,other_technology_studies,primary_empirical,maintained Claude Science extraction,Does AI change what you remember?,What happens when facts can be found instead of remembered?,historical comparison,,audited 2026-09-23,Historical comparison on how expected access to search changes what is remembered.
doi:10.3389/fpubh.2024.1332030,Gong & Yang 2024,Google effects on memory: a meta-analytical review,other_technology_studies,systematic_review_or_meta_analysis,content verified in analysis 16,Does AI change what you remember?,What happens when facts can be found instead of remembered?,historical comparison,,audited 2026-09-23,Evidence synthesis across heterogeneous Google-effect constructs; do not treat it as one clean estimate of memory loss.
doi:10.3389/fnhum.2016.00542,Goodyear et al. 2016,Advice Taking from Humans and Machines: An fMRI and Effective Connectivity Study,other_technology_studies,primary_empirical,content verified against full publication in analysis 23,What do brain and physiological measures show during AI use?,How does the brain process unreliable machine advice?,historical comparison,What happens in the brain? || fMRI of taking advice from a machine,audited 2026-09-23,Pre-LLM fMRI comparison of human and machine advice; historical machine-advisor evidence rather than a current AI study.
doi:10.3758/bf03193441,Bertsch et al. 2007,The generation effect: a meta-analytic review,cognitive_psychology_studies,systematic_review_or_meta_analysis,content verified in analysis 17,Does AI change what you learn?,Does generating and retrieving improve retention?,mechanism context,,audited 2026-09-23,Meta-analysis of the generation effect; mechanism context for self-generation-first AI workflows.
doi:10.1037/a0037559,Rowland 2014,The effect of testing versus restudy on retention,cognitive_psychology_studies,systematic_review_or_meta_analysis,content verified in analysis 17,Does AI change what you learn?,Does generating and retrieving improve retention?,mechanism context,,audited 2026-09-23,Meta-analysis of testing versus restudy; mechanism context for active retrieval during learning.
doi:10.1037/xge0000049,Meyer et al. 2015,Disfluent fonts don't help people solve math problems,cognitive_psychology_studies,primary_empirical,content verified in analysis 17,Does AI change what you learn?,Does making material harder to read improve learning?,mechanism context,,audited 2026-09-23,Pooled replication found no benefit of hard-to-read fonts for mathematical reasoning.
doi:10.1007/s10648-018-9442-x,Xie et al. 2018,Null Effects of Perceptual Disfluency on Learning Outcomes,cognitive_psychology_studies,systematic_review_or_meta_analysis,content verified in analysis 17,Does AI change what you learn?,Does making material harder to read improve learning?,mechanism context,,audited 2026-09-23,Meta-analysis found no recall or transfer benefit from perceptual disfluency; a later methodological commentary belongs beside it as evidence-quality context.
doi:10.3389/fpsyg.2014.01099,Debue 2014,What does germane load mean?,cognitive_psychology_studies,primary_empirical,content verified in analysis 17,Does AI change what you learn?,When does mental effort support learning?,mechanism context,,audited 2026-09-23,Exploratory hypermedia experiment illustrates that cognitive-load components are difficult to measure separately.
doi:10.1177/17470218241308143,Pyke et al. 2024,Does difficulty moderate learning?,cognitive_psychology_studies,review,content verified in analysis 17,Does AI change what you learn?,When does mental effort support learning?,mechanism context,,audited 2026-09-23,Theory review proposes matching task difficulty to material complexity and learner expertise; requires empirical validation.
doi:10.1177/17470218211008060,Grinschgl et al. 2021,Consequences of cognitive offloading: Boosting performance but diminishing memory,cognitive_psychology_studies,primary_empirical,content verified in analysis 16,Does AI change what you remember?,When does offloading help and what does it cost?,mechanism context,,audited 2026-09-23,Mechanism evidence that offloading can improve immediate performance while reducing later memory; test expectation mitigates the cost.
doi:10.3758/s13423-022-02139-4,Gilbert et al. 2022,Outsourcing Memory to External Tools: A Review of ‘Intention Offloading’,cognitive_psychology_studies,review,maintained Claude Science extraction,Does AI change what you remember?,When does offloading help and what does it cost?,mechanism context,Does AI change what you remember? || What did the pre-AI offloading work find?,audited 2026-09-23,Mechanism review on intention offloading and metacognitive reminder use; not direct evidence of long-term cognitive harm.
title:need-for-cognition-and-attitude-persistence,Haugtvedt & Petty 1989,Need For Cognition and Attitude Persistence,cognitive_psychology_studies,primary_empirical,content verified in analysis 21,How does AI change what people believe?,What makes attitudes persist?,mechanism context,,audited 2026-09-23,Historical mechanism study links greater need for cognition with less attitude decay across two days after an advertisement.
doi:10.1007/s10648-020-09579-1,Weissgerber et al. 2021,Null and Void? Errors in Meta-analysis on Perceptual Disfluency and Recommendations to Improve Meta-analytical Reproducibility,cognitive_psychology_studies,methodological_commentary,content verified against full publication in analysis 24,How strong is the evidence?,What changes when researchers recheck methods and analysis?,mechanism context,,audited 2026-09-23,Published methodological reanalysis finds coding and effect-size problems in the perceptual-disfluency meta-analysis and narrows which conclusions remain credible.
