canonical_id,title,citation,authors,year,venue,publication_status,doi,url,provenance,source_tables,source_access,design,sample,population,exposure,measures,key_finding,effect_size,limitations,caveats,randomized,outcome_timing,exposure_duration,evidence_view,evidence_role,question_family,subquestion_draft,relationship_to_question,verification_status,in_2026_09_23_map,map_placements_2026_09_23
doi:10.1126/science.aea3884,The levers of political persuasion with conversational artificial intelligence,Kobi Hackenburg et al. 2025,Kobi Hackenburg; Ben M Tappin; Luke Hewitt et al.,2025,Science,peer-reviewed,10.1126/science.aea3884,https://doi.org/10.1126/science.aea3884,both,claude_benefit_side; perplexity,"full text (LSE Research Online, green OA)","Three large-scale online survey experiments using 19 LLMs across 707 political issues; one-month follow-up in Study 1; 466,769 claims fact-checked","76,977 participants across three experiments",UK adults,"Conversational exchanges with 19 LLMs, some post-trained explicitly for persuasion, under varied prompting/personalisation/scale conditions",Pre-post political agreement immediate and one-month follow-up plus claim density and factual accuracy,Post-training and prompting increased persuasion more than personalization or model scale; 36 to 42 percent of the immediate GPT-4o effect remained at one month; methods that increased persuasion also reduced factual accuracy,"Pooling across all models: +1.59pp Bayesian 95% CI [1.07, 2.13] increase in persuasion per order of magnitude increase in model scale; chat-tuned models only: +1.83pp [1.42, 2.25]; developer post-trained models: +0.32pp [-1.18, 1.85]; RM pooled main effect on open-source models: +2.32pp, p < .001 (baseline persuasion effect 7.3pp); SFT: +0.26pp, p = 0.230; SFT×RM interaction: p = 0.558; personalization overall precision-weighted average: +0.43pp 95% CI [0.22, 0.64] (baseline non-personalized effect 8.5pp); information prompt vs basic prompt: +2.29pp [1.84, 2.75] (10.60pp vs 8.34pp, p < .001); maximal-persuasion AI estimated effect: 15.9pp on average (69.1% higher than 9.4pp average condition), 26.1pp among initial disagreers (74.3% higher than 15.2pp average condition)",Controlled paid conversations on UK political issues; real-world willingness to engage may be lower; the one-month result covers Study 1 and GPT-4o rather than every model and condition,the persuasion gain is coupled to a documented LOSS of factual accuracy — this is a harm-side result inside the persuasion literature,yes,after AI was removed with one-month follow-up,single session,ai_studies,primary_empirical,How does AI change what people believe?,Do belief changes last?,direct evidence,content verified and sample-unit error corrected in analysis 21,yes,Can AI make thinking better? || ...and the same lever pointed the other way
doi:arxiv:2604.21430,Brief chatbot interactions produce lasting changes in human moral values,Teng et al. 2026,Yue Teng; Qianer Zhong; Kim Mai Tich Nguyen Thordsen; Christian Montag; Benjamin Becker,2026,arXiv,preprint,arXiv:2604.21430,https://arxiv.org/abs/2604.21430,perplexity,perplexity,,Within-subject chatbot experiment with directional moral-value prompts and a 14-to-16-day follow-up,53 initially; 47 at follow-up,Chinese university students,,Moral judgments and punishment judgments immediately and at follow-up,Directional shifts in moral judgments were d=0.735 to 1.576 immediately and d=1.038 to 2.069 at follow-up; punishment judgments did not change,,Preprint; very small convenience sample; within-subject design without a no-intervention control; attrition; narrow cultural and student setting,,no,after AI was removed with 14-to-16-day follow-up,,ai_studies,primary_empirical,How does AI change what people believe?,Do belief changes last?,direct evidence,content verified and publication year corrected in analysis 21,no,
doi:10.1073/pnas.2403116121,Evaluating the persuasive influence of political microtargeting with large language models,Kobi Hackenburg et al. 2024,Kobi Hackenburg; Helen Margetts,2024,PNAS,peer-reviewed,10.1073/pnas.2403116121,https://doi.org/10.1073/pnas.2403116121,both,claude_benefit_side; perplexity,full text (PMC11181035),Preregistered randomized controlled online experiment using real-time GPT-4 messages,"8,587",Prolific adults in a sample that skewed liberal and Democratic,"Single GPT-4-generated persuasive message on one of four political issues, microtargeted or not",Immediate change in self-reported support for political issue stances,GPT-4 messages increased support by as much as 12 percentage points; aggregate effects of microtargeted and generic messages were 4.83 and 6.20 points and did not differ significantly,"'4.83 vs. 6.20 percentage points, respectively, = 0.226' [P glyph dropped in retrieved PMC text]; 'up to 12 percentage points' for overall persuasion",Convenience sample; immediate self-reported attitudes; one-message exposure; microtargeting used a defined set of attributes and cannot rule out other targeting methods,Key result is a NULL for microtargeting; outcome is self-reported issue support measured immediately,yes,immediately after message exposure,Single session (single message exposure),ai_studies,primary_empirical,How does AI change what people believe?,Do targeting interaction or scale make persuasion stronger?,direct evidence,content verified in analysis 21,no,
doi:10.1073/pnas.2412815122,Testing theories of political persuasion using AI,Argyle et al. 2025,Argyle et al.,2025,PNAS,peer-reviewed,10.1073/pnas.2412815122,https://doi.org/10.1073/pnas.2412815122,perplexity,perplexity,,Two preregistered randomized online survey experiments,"3,681",US adults sampled to roughly match census demographics with balanced Republican and Democratic representation,,Immediate policy attitude vote-support and democratic-reciprocity measures,Generic microtargeted and interactive direct-persuasion treatments shifted attitudes; customization and interaction did not clearly outperform a generic message and democratic-reciprocity effects were weaker and inconsistent,,Immediate self-report outcomes; two US policy domains; conditions changed several features at once and did not directly measure elaboration; no delayed or real voting behavior,,yes,immediately after the intervention,,ai_studies,primary_empirical,How does AI change what people believe?,Do targeting interaction or scale make persuasion stronger?,direct evidence,content verified in analysis 21,no,
doi:10.1038/s41562-025-02194-6,On the conversational persuasiveness of GPT-4,Francesco Salvi et al. 2025,Francesco Salvi; Manoel Horta Ribeiro; Riccardo Gallotti et al.,2025,Nature Human Behaviour,peer-reviewed,10.1038/s41562-025-02194-6,https://doi.org/10.1038/s41562-025-02194-6,both,claude_benefit_side; perplexity,full text (PMC12367540),Preregistered randomized 2x2x3 online debate experiment,900,Online adults,Multiround text debate against GPT-4 (with or without access to the participant's sociodemographic data) or a human opponent,Post-debate agreement with the proposition,Among debate pairs with unequal persuasiveness personalized GPT-4 was more persuasive than the human opponent 64.4 percent of the time corresponding to an 81.2 percent increase in the odds of higher post-debate agreement,"'64.4% of the time (81.2% relative increase in odds of higher post-debate agreement; 95% confidence interval [+26.0%, +160.7%], P < 0.01; N = 900)'",Short controlled debates; immediate attitude report; the 64.4 percent estimate applies only to unequal debate pairs; no delayed or behavioral outcome,"Persuasion is direction-agnostic: the study measures attitude change, not accuracy or reasoning quality; authors frame it as a misuse risk",yes,immediately after the debate,Single session (short multiround debate),ai_studies,primary_empirical,How does AI change what people believe?,Do targeting interaction or scale make persuasion stronger?,direct evidence,content verified in analysis 21,no,
doi:10.1073/pnas.2413443122,Scaling and persuasion,Hackenburg et al. 2025a,Hackenburg et al.,2025,PNAS,peer-reviewed,10.1073/pnas.2413443122,https://doi.org/10.1073/pnas.2413443122,perplexity,perplexity,,Preregistered randomized survey experiment comparing messages from 24 language models and human baselines,"25,982",UK adults,,Immediate change in support after a single static political message,Larger models were more persuasive but the relationship showed sharply diminishing returns; frontier models were only slightly more persuasive than much smaller models,,Static single-message exposure; immediate self-reported political attitudes; one national setting; model size is associated with other model differences,,yes,immediately after message exposure,,ai_studies,primary_empirical,How does AI change what people believe?,Do targeting interaction or scale make persuasion stronger?,direct evidence,content verified in analysis 21,no,
doi:10.1093/pnasnexus/pgae034,How persuasive is AI-generated propaganda?,Goldstein et al. 2024,Josh A. Goldstein; Jason Chao; Shelby Grossman; Alex Stamos; Michael Tomz,2024,PNAS Nexus,peer-reviewed,10.1093/pnasnexus/pgae034,https://doi.org/10.1093/pnasnexus/pgae034,perplexity,perplexity,,Preregistered randomized survey experiment comparing original propaganda GPT-3 propaganda and control messages,"8,221",US adults recruited through Lucid,,Agreement with the propagandist's thesis immediately after message exposure,GPT-3 propaganda produced 43.5 percent agreement compared with 47.4 percent for the original propaganda and was substantially more persuasive than control,,Single brief exposure; attitude agreement rather than observed behavior; GPT-3-era model and a US online sample,,yes,immediately after message exposure,,ai_studies,primary_empirical,How does AI change what people believe?,How persuasive are AI-generated messages compared with humans?,direct evidence,content verified in analysis 21,no,
doi:10.1038/s41467-025-61345-5,LLM-generated persuasive messages,Bai et al. 2025,Bai; Voelkel; Muldowney; Eichstaedt; Willer,2025,Nature Communications,peer-reviewed,10.1038/s41467-025-61345-5,https://doi.org/10.1038/s41467-025-61345-5,perplexity,perplexity,,Three preregistered randomized survey experiments,"4,829 across studies: 1,203; 2,016; 1,610",Diverse US adult samples; Study 3 matched several national demographic benchmarks,,Pre-post support on 101-point policy scales,LLM messages shifted policy support by about 2 to 4 points relative to neutral controls and performed similarly to lay-human messages; human-selected LLM messages were not consistently better than LLM messages alone,,Immediate self-reported policy support after one message; effects were small; models were GPT-3 and GPT-3.5 from 2022; no behavioral or delayed outcome,,yes,immediately after message exposure,,ai_studies,primary_empirical,How does AI change what people believe?,How persuasive are AI-generated messages compared with humans?,direct evidence,content verified in analysis 21,no,
doi:10.1038/s41598-025-30783-y,A meta-analysis of the persuasive power of large language models,Hölbling et al. 2025,Lukas Hölbling; Sebastian Maier; Stefan Feuerriegel,2025,Scientific Reports,peer-reviewed,10.1038/s41598-025-30783-y,https://doi.org/10.1038/s41598-025-30783-y,perplexity,perplexity,,PRISMA systematic review and random-effects meta-analysis,"17,422 participants across 7 studies and 12 effect sizes",Primarily English-speaking online samples,,Attitude change behavioral intention compliance policy support and perceived-message-effectiveness outcomes,LLMs and humans did not differ overall in persuasive effectiveness: pooled g=0.02 with 95 percent CI -0.048 to 0.093 and p=.530; heterogeneity was 75.97 percent,,Only seven eligible studies; mixed outcomes and contexts; some included studies were preprints; primarily WEIRD and US samples; moderator model risks overfitting,,not applicable,varied across included studies,,ai_studies,systematic_review_or_meta_analysis,How does AI change what people believe?,How persuasive are AI-generated messages compared with humans?,evidence synthesis or quality context,content verified in analysis 21,no,
doi:arxiv:2601.00856,Comment on: Your Brain on ChatGPT: Accumulation of Cognitive Debt When Using an AI Assistant for Essay Writing Tasks,Stankovic et al. 2025,Milos Stankovic; Ella Hirche; Sarah Kollatzsch; Julia Nadine Doetsch,2025,arXiv,preprint,arXiv:2601.00856,https://arxiv.org/abs/2601.00856,perplexity,perplexity,,Constructive methodological commentary on Kosmyna et al. 2025,Not applicable,Not applicable,,Review of study design reproducibility EEG analysis reporting consistency and procedural transparency,The authors argue that several Kosmyna results require more conservative interpretation because of limited sample size reproducibility problems EEG-method concerns inconsistent reporting and limited transparency,,Preprint commentary rather than an independent replication or reanalysis; it identifies concerns but does not by itself determine which original findings are false,,not applicable,not applicable,,ai_studies,methodological_commentary,How strong is the evidence?,What changes when researchers recheck methods and analysis?,evidence synthesis or quality context,content verified against arXiv abstract in analysis 24,no,
doi:10.1057/s41599-025-04787-y,"The effect of ChatGPT on students’ learning performance, learning perception, and higher-order thinking: insights from a meta-analysis",Wang & Fan 2025,Jin Wang; Wenxiang Fan,2025,Humanities and Social Sciences Communications,retracted,10.1057/s41599-025-04787-y,https://doi.org/10.1057/s41599-025-04787-y,perplexity,perplexity,,Retracted meta-analysis of 51 experimental or quasi-experimental studies and 72 effect sizes,51 studies; 72 effect sizes,Students across included education studies,,Meta-analysis of learning performance learning perception and higher-order thinking,The article reported g=0.867 for learning performance g=0.456 for learning perception and g=0.457 for higher-order thinking; the journal retracted it on 22 April 2026 because discrepancies undermined confidence in the analysis and conclusions,,Retracted; the editor's note says the authors did not respond to correspondence; reported estimates cannot support a current conclusion,,not applicable,not applicable,,ai_studies,retracted_record,How strong is the evidence?,What happens when a result is retracted?,excluded from conclusions; integrity record,content verified against article and official retraction note in analysis 24,no,
doi:10.1186/s13063-025-08950-3,Effects of generative artificial intelligence on cognitive effort and task performance: study protocol for a randomized controlled experiment among college students,Chen et al. 2025,Youjie Chen; Yingying Wang; Torsten Wüstenberg; René F. Kizilcec; Yiwen Fan; Yanfei Li; Bin Lu; Meng Yuan; Junlai Zhang; Ziyue Zhang; Pascal Geldsetzer; Simiao Chen; Till Bärnighausen,2025,Trials,peer-reviewed,10.1186/s13063-025-08950-3,https://doi.org/10.1186/s13063-025-08950-3,claude_science,claude_first_pass,full text,Registered parallel-group laboratory RCT protocol with 1:1 randomization,Planned N=160,Full-time university students ages 18 to 35 recruited at Heidelberg University in Germany,"Intervention group: access to ChatGPT (GPT-4) via a blank ChatGPT interface on split-screen to assist with an analytical writing task, usable ""in any way they like"" with no scoring penalty. Control group: same split-screen setup but with a basic text editor instead of ChatGPT, completing the writing task ""with minimal support.""",Planned GRE-rubric writing performance pupil dilation fNIRS and self-report measures,No results are reported; the protocol describes a planned comparison of GPT-4 access with a basic text editor during one analytical-writing task,"not reported in retrieved text (protocol paper; only an a priori assumed effect size for sample-size simulation is given: ""an anticipated effect size of Cohen's = 0.45"" based on prior evidence ""Cohen's = 0.4–0.5""; power analysis indicated ""a minimum of 160 participants would be necessary to achieve a statistical power greater than 0.8 under an alpha level of 0.05"")",Protocol only; convenience sample at one university; controlled lab task; planned measures concern assisted performance and effort during use rather than later learning or retained skill,study protocol - no results yet; preregistered (ClinicalTrials.gov); convenience sampling; single site; WEIRD sample (author-flagged); lab-based artificial task not real-world setting; age of participants not explicitly reported; outcome is proxy not learning (psychophysiological proxy for cognitive effort); no delayed retention test; funding reported as Horizon Europe / CAMS-PUMC / Humboldt Foundation per retrieved text (non-industry),yes,planned measurement during one session,single session,ai_studies,protocol,How strong is the evidence?,Which records describe planned studies rather than findings?,evidence synthesis or quality context,content verified against full protocol in analysis 24,no,
doi:arxiv:2506.04167,Neural and Cognitive Impacts of AI,Russell et al. 2025,Russell et al.,2025,arXiv (Tufts + Microsoft),preprint,arXiv:2506.04167,https://arxiv.org/abs/2506.04167,perplexity,perplexity,,Four-task by two-condition within-person study with randomized task order and counterbalanced AI condition,20 healthy adults; physiological analyses used smaller samples after exclusions,Adults ages 18 to 25,,NASA-TLX performance enjoyment fNIRS heart rate HRV and electrodermal activity,Copilot reduced reported workload on reading planning and poetry tasks and improved some task outcomes; no overall Copilot effect appeared in fNIRS heart rate HRV or electrodermal measures,,Preprint with 20 participants and several physiological exclusions; one Copilot interface; short tasks; null physiological results may reflect limited power or task intensity,,yes,with AI present during one session,,ai_studies,primary_empirical,What do brain and physiological measures show during AI use?,Do physiological measures match perceived workload?,direct evidence,content verified against full preprint in analysis 23,no,
doi:10.3390/brainsci14101032,Intentional or Designed? The Impact of Stance Attribution on Cognitive Processing of Generative AI Service Failures,Lv et al. 2024,Dong Lv; Rui Sun; Qiuhua Zhu; Jiajia Zuo; Shukun Qin; Yue Cheng,2024,Brain Sciences,peer-reviewed,10.3390/brainsci14101032,https://doi.org/10.3390/brainsci14101032,claude_science,claude_first_pass,full text,Within-person EEG experiment varying intentional-versus-design framing and emotional-versus-mechanical AI failures,24 adults,Young adults recruited from a university laboratory pool and community in China,"Generative AI (images from real application scenarios including ChatGPT3.5 and Bing) service-failure scenarios; each accompanied by one of two stance-attribution textual explanations: design stance (e.g., ""ChatGPT is a designed conversational entity when a problem occurs"") vs. intentional stance (e.g., ""ChatGPT truly wants to help you, but it made a mistake""), crossed with task type (emotional vs. mechanical), with each service task having both successful and unsuccessful AI response versions (40 total AI service response materials)",Theta-band activity and connectivity plus failure judgments,Theta-band conflict signals differed by failure type and whether the AI was framed as intentional or designed,"Sample size calc: power 0.8, effect size 0.25. Material pre-test: M=5.523, SD=1.653 (affective); M=2.381, SD=1.574 (mechanical); t(262)=15.821, p<0.001. ERSP ANOVA: F(1,23)=13.048, p=0.001, ηp2=0.362. Simple effects: design stance emotional M=−0.089, SE=0.133 vs mechanical M=0.506, SE=0.209, p=0.021; intentional stance emotional M=0.324, SE=0.151 vs mechanical M=0.020, SE=0.114, p=0.096; emotional task: intentional M=0.324, SE=0.151 vs design M=−0.089, SE=0.133, p=0.024; mechanical task: design M=0.506, SE=0.209 vs intentional M=0.020, SE=0.114, p=0.025. PLV ANOVA: main effect of stance F(1,23)=11.546, p=0.002, ηp2=0.334; interaction F(1,23)=5.156, p=0.033, ηp2=0.183; pairwise: intentional M=0.026, SE=0.010 vs design M=−0.013, SE=0.008, p=0.002; design stance emotional M=−0.029, SE=0.011 vs mechanical M=0.003, SE=0.010, p=0.041; intentional stance task difference p=0.545; emotional task intentional M=0.031, SE=0.012 vs design M=−0.029, SE=0.011, p<0.001; mechanical task stance difference p=0.195.",Small single-site study; indirect neural proxy; narrow failure scenarios; no measure of later cognition or change in mental models,N<30; single site; self-report only for pre-test material validation; no delayed retention test; outcome is proxy not learning; cross-sectional; convenience sample; within-subjects manipulation with randomised stimulus order; no between-group randomisation,yes,with AI present during one session,single session,ai_studies,primary_empirical,What do brain and physiological measures show during AI use?,How does the brain respond when an AI fails?,direct evidence,content verified against maintained full-text extraction in analysis 23,yes,What happens in the brain? || Brain response when an AI fails
doi:10.3389/fncom.2025.1556483,The Cognitive Impacts of Large Language Model Interactions,Jiang et al. 2025,Jiang; Wu; Leung,2025,Frontiers in Computational Neuroscience,peer-reviewed,10.3389/fncom.2025.1556483,https://doi.org/10.3389/fncom.2025.1556483,perplexity,perplexity,,Controlled within-person EEG study of solo and GPT-4-assisted reasoning embedded in a broader model-development paper,12,Population demographics not reported,,Frontal theta power P300 amplitude and NASA-TLX workload,With GPT-4 assistance frontal theta was lower P300 amplitude was higher and reported workload was lower than during solo reasoning,,Only 12 participants; task and participant details are sparse; condition order and randomization are not reported; the paper mainly validates a computational framework on reused affective EEG datasets; neural differences do not establish improvement or impairment,,not reported,with AI present during one reasoning session,,ai_studies,primary_empirical,What do brain and physiological measures show during AI use?,What changes during AI-assisted writing and reasoning?,direct evidence,content verified against full publication in analysis 23,no,
doi:10.3389/fpsyg.2025.1508383,EEG assessment of artificial intelligence-generated content impact on student creative performance and neurophysiological states in product design,Wang et al. 2025,Shuxin Wang; Tao Xin; Hongbo Ma; F. F. Li; Chuanqi Wu,2025,Frontiers in Psychology,peer-reviewed,10.3389/fpsyg.2025.1508383,https://doi.org/10.3389/fpsyg.2025.1508383,both,claude_first_pass; perplexity,full text,Quasi-experimental comparison of AIGC-assisted and traditional-tool design groups,64 design students; 32 per group,Undergraduate design students ages 20 to 25 at one university in Eastern China,"Experimental group used AIGC tools (ChatGPT, Midjourney, Stable Diffusion) to assist with a 3-hour intelligent-cane design task (concept ideation via ChatGPT, image generation via Stable Diffusion, post-processing via Photoshop/Illustrator); control group used traditional computer-aided design software (Adobe Photoshop, Adobe Illustrator, Rhinoceros, KeyShot, Autodesk Maya) without AIGC assistance for the same task",Expert-rated creative output and BrainLink Pro proprietary concentration and relaxation indices,The AIGC group had higher rated creative output and higher proprietary concentration scores; relaxation did not differ,"Creative performance: Experimental M=115.13, SD=6.440; Control M=110.69, SD=9.372; t(62)=2.208, p=0.031, Cohen's d=0.55, mean difference=4.438, 95% CI [0.419, 8.456]. Concentration level: Experimental M=51.06, SD=2.539; Control M=48.31, SD=2.867; t(62)=4.062, p<0.001 (reported as Sig.=0.000 in table), Cohen's d=1.02, mean difference=2.750, 95% CI [1.397, 4.103]. Relaxation level: Experimental M=48.59, SD=2.284; Control M=47.84, SD=2.259; t(62)=1.321, p=0.191, mean difference=0.750, 95% CI [-0.385, 1.885]. Correlations: creative performance–concentration r=0.67, p<0.001; creative performance–relaxation r=0.29, p=0.021; concentration–relaxation r=0.15, p=0.237.",Nonrandom group assignment; one three-hour design task; one university; consumer EEG headband and proprietary eSense indices; no test after AI removal,single site; single design task/session; no delayed retention test; quasi-experimental (not stated as randomised at individual level beyond group assignment); correlational findings explicitly flagged by authors as not causal; self-report component (interviews) alongside objective EEG measure; outcome partly proxy (CSDS creative output) not real-world design skill; short single-session task (3 hours),no,with AI present during one three-hour design task,single session,ai_studies,primary_empirical,What do brain and physiological measures show during AI use?,What changes during AI-assisted writing and reasoning?,direct evidence,content verified against maintained full-text extraction in analysis 23,yes,What happens in the brain? || Consumer EEG during design work
doi:10.1207/s15327108ijap1101_1,Aircrews and Automation Bias,Mosier et al. 2001,Mosier; Skitka; Dunbar; McDonnell,2001,Int J Aviation Psychology,peer-reviewed,10.1207/S15327108IJAP1101_1,https://doi.org/10.1207/S15327108IJAP1101_1,perplexity,perplexity,,Mixed-design cockpit study,48,Commercial glass-cockpit pilots,,Omission commission and false-memory errors under automated assistance,Automation bias persisted in professional crews; explicit automation-bias training and verification prompts did not reduce the errors,,Historical aviation automation rather than generative AI; article abstract does not provide detailed condition-level effect sizes,,not reported,,,other_technology_studies,primary_empirical,Does AI advice make judgment better or worse?,What did earlier automation show about error detection?,historical comparison,content verified in analysis 19,no,
doi:10.1145/1070838.1070841,Does Spell-Checking Software Need a Warning Label?,Galletta et al. 2005,Galletta; Durcikova; Everard; Jones,2005,CACM,peer-reviewed,10.1145/1070838.1070841,https://doi.org/10.1145/1070838.1070841,perplexity,perplexity,,Between-subjects experiment with spell-check available or unavailable,65,33 undergraduate and 32 graduate students,,Errors remaining after proofreading text with a fallible spell checker,Participants trusted incorrect spell-check advice and left more errors when assistance was active; higher-verbal-ability users were especially affected,,Measures reliance and error detection during assisted performance; no withdrawal phase or later skill test,,not reported,,,other_technology_studies,primary_empirical,Does AI advice make judgment better or worse?,What did earlier automation show about error detection?,historical comparison,content verified in analysis 18,no,
title:the-loss-of-manual-flying-skills-in-pilots-of-highly-automated-airliners,The Loss of Manual Flying Skills in Pilots of Highly Automated Airliners,Ebbatson 2009,Ebbatson,2009,PhD thesis (Cranfield),thesis,,https://dspace.lib.cranfield.ac.uk/bitstream/1826/3484/1/Ebbatson_Thesis_2009.pdf,perplexity,perplexity,,Multi-study PhD thesis; main manual-flying performance study plus a 9-pilot cognitive task analysis and measure validation,66 in the main performance study; thesis also includes a 9-pilot cognitive task analysis,32 first officers; 27 captains; 7 training captains in the main performance study,,Manual-flying performance including airspeed tracking plus recent and cumulative flying experience,Recent manual-handling experience predicted performance more strongly than total or long-term automated-aircraft experience; airspeed tracking was especially vulnerable,,Thesis contains several component studies; the prior source record incorrectly paired one component's N=9 with the main performance conclusion,,not reported,,,other_technology_studies,thesis,Does AI change the skills you build and retain?,What happened to established skill under earlier automation?,historical comparison,content verified and source-record error corrected in analysis 18,no,
doi:10.1177/0018720814535628,The Retention of Manual Flying Skills in the Automated Cockpit,Casner et al. 2014,Casner; Geven; Recker; Schooler,2014,Human Factors,peer-reviewed,10.1177/0018720814535628,https://doi.org/10.1177/0018720814535628,perplexity,perplexity,,Level-D simulator study across three automation conditions,16,Active Boeing 747-400 pilots,,Manual control instrument scanning navigation failure recognition and diagnosis,Well-practiced hand-eye and manual-control skills were largely retained while cognitive navigation failure recognition and diagnosis were more vulnerable,,Small expert sample in one aircraft type; historical automation comparison rather than generative-AI evidence,,not reported,,,other_technology_studies,primary_empirical,Does AI change the skills you build and retain?,What happened to established skill under earlier automation?,historical comparison,content verified in analysis 18,no,
doi:10.1177/0018720816640394,Flying the Needles,Haslbeck & Hoermann 2016,Haslbeck; Hoermann,2016,Human Factors,peer-reviewed,10.1177/0018720816640394,https://doi.org/10.1177/0018720816640394,perplexity,perplexity,,Cross-sectional observational study,126,Airline pilots from different fleets,,Fine-motor manual-flying performance and recency of practice,Recent flight practice was a stronger predictor of fine-motor performance than time since flight school or cumulative and type-specific experience,,Cross-sectional association cannot isolate automation as the cause; historical aviation setting limits transfer to knowledge work,,not reported,,,other_technology_studies,primary_empirical,Does AI change the skills you build and retain?,What happened to established skill under earlier automation?,historical comparison,content verified in analysis 18,no,
doi:10.2307/749255,Effects of Hand-Held Calculators in Precollege Mathematics Education,Hembree & Dessart 1986,Hembree; Dessart,1986,JRME,peer-reviewed,10.2307/749255,https://doi.org/10.2307/749255,perplexity,perplexity,,Meta-analysis,79 reports,Precollege students,,Paper-and-pencil basic skills problem solving and attitudes,Integrating calculators with mathematics instruction improved average students' paper-and-pencil basic skills and problem solving without the broad skill loss critics feared,,Studies were conducted in precollege education decades before generative AI and varied in calculator use and instructional design,,not reported,,,other_technology_studies,systematic_review_or_meta_analysis,Does AI change what you learn?,What happened when calculators entered learning?,historical comparison,content verified in analysis 17,no,
doi:10.2307/30034795,A Meta-Analysis of the Effects of Calculators,Ellington 2003,Ellington,2003,JRME,peer-reviewed,10.2307/30034795,https://doi.org/10.2307/30034795,perplexity,perplexity,,Meta-analysis,54 studies,Precollege students,,Operational computational conceptual and problem-solving skills plus attitudes,Skills improved when calculators were integral to instruction and testing; results without calculators in assessment were mixed but showed no general hindrance to mathematical skill development,,Precollege evidence from heterogeneous calculator implementations; outcomes depend on whether the tool was integrated into instruction and assessment,,not reported,,,other_technology_studies,systematic_review_or_meta_analysis,Does AI change what you learn?,What happened when calculators entered learning?,historical comparison,content verified in analysis 17,no,
doi:10.1080/09658211.2016.1210171,Using the Internet to access information inflates future use,Storm et al. 2016,Storm; Stone; Benjamin,2016,Memory,peer-reviewed,10.1080/09658211.2016.1210171,https://doi.org/10.1080/09658211.2016.1210171,perplexity,perplexity,,Three experiments,60 / 80 / 40 participants,University of California Santa Cruz undergraduates,,Choice to use Google or memory for later trivia questions,Participants who had used Google for difficult questions were more likely to use it for later easier questions; this measures later search choice rather than memory decline,,Laboratory trivia tasks with undergraduate samples; the study does not test durable memory change,,not reported,,,other_technology_studies,primary_empirical,Does AI change what you remember?,Does using search change when people reach for it?,historical comparison,content verified in analysis 16,no,
doi:10.7717/peerj.10325,No conclusive evidence that difficult general knowledge questions cause a 'Google Stroop effect',Hesselmann 2020,Hesselmann,2020,PeerJ,peer-reviewed,10.7717/peerj.10325,https://doi.org/10.7717/peerj.10325,perplexity,perplexity,,Preregistered replication,117 tested; 89 analyzed,German adults,,Stroop interference for internet-related words after difficult versus easy general-knowledge questions,The replication found no conclusive evidence that difficult questions automatically activate the concept of internet access,,Failed replication of one proposed mechanism; it does not show that search has no other effect on memory or behavior,,not reported,,,other_technology_studies,primary_empirical,Does AI change what you remember?,Does using search change when people reach for it?,historical comparison,content verified in analysis 16,no,
doi:10.1016/j.jenvp.2007.09.002,Wayfinding with a GPS-based mobile navigation system,Ishikawa et al. 2008,Ishikawa; Fujiwara; Imai; Okabe,2008,Journal of Environmental Psychology,peer-reviewed,10.1016/j.jenvp.2007.09.002,https://doi.org/10.1016/j.jenvp.2007.09.002,perplexity,perplexity,,Three-condition comparison of GPS navigation map use and direct route experience,66 college students,College students,,Travel behavior direction estimates and sketch-map topological accuracy,"GPS users traveled farther and more slowly, stopped more often, made larger direction errors and produced poorer sketch maps than the map and direct-experience groups",,One route-learning task and student sample; a comparison with earlier navigation technology rather than generative AI,,not reported,,,other_technology_studies,primary_empirical,Does AI change what you remember?,What happens to spatial memory when navigation is outsourced?,historical comparison,content verified in analysis 16,no,
doi:10.1038/s41598-020-62877-0,Habitual use of GPS negatively impacts spatial memory during self-guided navigation,Dahmani & Bohbot 2020,Louisa Dahmani; Véronique D. Bohbot,2020,Scientific Reports,peer-reviewed,10.1038/s41598-020-62877-0,https://doi.org/10.1038/s41598-020-62877-0,perplexity,perplexity,,Cross-sectional study plus three-year follow-up,50 regular drivers; longitudinal follow-up n=13,Montreal-area drivers,,Unaided spatial-memory performance and reported lifetime GPS use,Greater lifetime GPS use was associated with worse unaided spatial memory; in the 13-person follow-up more GPS use was associated with steeper decline,,Most evidence is cross-sectional and the longitudinal sample is only 13; association does not establish causation,,not reported,,,other_technology_studies,primary_empirical,Does AI change what you remember?,What happens to spatial memory when navigation is outsourced?,historical comparison,content verified in analysis 16,no,
doi:10.1080/24694452.2024.2356858,How Do In-Car Navigation Aids Impair Expert Navigators' Spatial Learning Ability?,Ying et al. 2024,Ying; Dong; Fabrikant,2024,Annals of the AAG,peer-reviewed,10.1080/24694452.2024.2356858,https://doi.org/10.1080/24694452.2024.2356858,perplexity,perplexity,,Between-participants comparison of drivers with high and low navigation-aid dependence; EEG eye tracking and spatial-knowledge tasks,24 experienced male taxi drivers,Beijing taxi drivers,,Scene and route recognition sketch maps EEG and eye tracking,Drivers with greater navigation-aid dependence performed worse on landmark and survey-knowledge measures and showed greater cognitive load; route recognition and visual-attention measures did not differ,,Small all-male expert sample; dependence groups were observational rather than randomized; some EEG and eye-tracking analyses had fewer than 24 participants,,not reported,,,other_technology_studies,primary_empirical,Does AI change what you remember?,What happens to spatial memory when navigation is outsourced?,historical comparison,content verified in analysis 17,no,
